efficiency,avg_bedtime,avg_actual_sleeptime,quality,weekday_midnight,weekend_midnight,disorder,motivation,ontime_bed,outside_noise,inside_noise,light,temperature,mattress,health,sm_quality
0.611111111111111,10.285714285714286,6.285714285714286,3,0,0,0,3,2,2,3,3,3,4,3,2
0.8411214953271028,7.642857142857143,6.428571428571429,4,1,0,0,4,4,2,3,3,4,3,1,1
0.9502262443438914,7.892857142857143,7.5,3,1,1,0,4,4,2,1,1,3,2,3,2
0.9824561403508772,8.142857142857142,8.0,3,1,1,0,3,3,2,2,2,3,3,3,2
0.9282296650717704,7.464285714285714,6.928571428571429,4,1,1,0,4,4,1,2,1,4,1,1,1
0.7853881278538813,7.821428571428571,6.142857142857143,3,1,1,0,3,3,1,1,1,1,1,2,2
0.8252427184466019,7.357142857142857,6.071428571428571,3,1,1,1,3,4,2,2,3,3,3,4,2
0.963302752293578,7.785714285714286,7.5,5,1,1,0,4,4,1,1,1,1,1,1,1
0.6238532110091742,7.785714285714286,4.857142857142857,2,1,1,0,4,4,1,1,1,1,2,1,3
0.8888888888888887,10.285714285714286,9.142857142857142,5,1,0,0,3,4,2,3,1,2,1,2,1
0.8333333333333333,10.285714285714286,8.571428571428571,5,1,1,0,5,5,1,1,1,1,2,1,1
0.624203821656051,11.214285714285714,7.0,4,1,1,0,4,4,1,1,5,3,4,2,1
0.8461538461538461,6.5,5.5,3,1,1,1,2,3,1,4,1,1,1,1,2
0.8923076923076924,9.285714285714286,8.285714285714286,2,1,1,0,5,5,1,3,1,3,1,3,3
1.0,5.5,5.5,3,1,1,1,3,2,2,2,1,2,1,3,2
0.875,8.0,7.0,4,1,1,0,3,2,3,1,1,4,2,2,1
0.7777777777777778,4.5,3.5,1,1,1,1,3,3,2,1,1,3,3,5,3
0.9607843137254902,7.285714285714286,7.0,3,1,1,0,4,4,2,2,2,3,2,2,2
0.7835820895522388,9.571428571428571,7.5,4,1,1,0,4,3,2,2,2,3,2,2,1
0.7222222222222222,9.0,6.5,3,1,1,0,2,2,3,3,3,4,2,3,2
0.8720379146919431,7.535714285714286,6.571428571428571,4,1,1,0,4,4,1,1,1,1,1,1,1
0.8932038834951457,7.357142857142857,6.571428571428571,4,0,0,0,3,3,3,3,1,2,3,2,1
0.9679999999999999,8.928571428571429,8.642857142857142,3,1,1,0,3,4,3,3,2,2,3,3,2
0.8615384615384615,9.285714285714286,8.0,5,1,1,0,5,5,1,1,1,1,1,2,1
1.0,8.0,8.0,3,0,0,0,2,2,2,2,3,4,3,2,2
0.7333333333333334,8.571428571428571,6.285714285714286,2,1,1,0,3,4,2,2,2,3,3,3,3
0.7142857142857143,7.0,5.0,4,1,1,0,2,3,1,1,2,2,1,2,1
1.0,7.464285714285714,7.571428571428571,4,1,1,0,3,4,2,1,3,3,4,3,1
1.0,6.571428571428571,7.785714285714286,4,1,1,0,5,5,3,3,4,4,3,3,1
0.8991596638655462,8.5,7.642857142857143,3,1,0,0,4,4,2,3,3,3,2,3,2
0.8,9.464285714285714,7.571428571428571,4,0,0,0,3,2,2,3,2,2,1,2,1
0.8647058823529412,6.071428571428571,5.25,4,1,1,0,3,2,1,1,2,3,3,2,1
0.7586206896551724,8.285714285714286,6.285714285714286,3,1,1,0,3,4,3,3,3,3,1,3,2
0.9392712550607288,8.821428571428571,8.285714285714286,5,1,0,0,4,3,2,2,1,3,1,1,1
0.7551020408163265,7.0,5.285714285714286,2,0,0,0,4,2,2,2,2,2,2,2,3
1.0,8.0,8.0,5,1,1,1,2,1,1,1,1,2,2,2,1
1.0,7.928571428571429,9.071428571428571,3,1,1,0,3,3,2,2,2,3,4,2,2
0.8,7.5,6.0,2,1,1,0,2,3,2,2,2,2,2,2,3
0.9824561403508772,8.142857142857142,8.0,4,1,1,0,4,3,3,2,3,3,2,2,1
0.8923076923076924,9.285714285714286,8.285714285714286,4,1,1,0,4,4,2,2,2,2,2,2,1
1.0,7.964285714285714,8.0,5,1,1,0,4,4,1,1,1,1,3,1,1
0.8823529411764706,8.5,7.5,4,1,1,0,4,3,2,3,1,2,1,2,1
1.0,6.357142857142857,6.785714285714286,3,1,0,0,1,2,1,2,1,2,2,2,2
1.0,8.0,8.0,3,1,1,0,3,3,3,3,3,3,3,3,2
0.8823529411764706,8.5,7.5,4,1,1,0,4,4,2,2,2,2,2,2,1
0.825,5.714285714285714,4.714285714285714,2,0,0,1,2,2,1,1,1,1,1,3,3
0.9568965517241379,8.285714285714286,7.928571428571429,4,1,1,0,4,4,3,3,4,3,2,3,1
0.8427419354838709,8.857142857142858,7.464285714285714,2,1,1,1,4,3,1,1,1,1,1,2,3
0.875,8.0,7.0,4,0,0,0,3,3,2,2,2,2,2,2,1
0.9204545454545454,6.285714285714286,5.785714285714286,4,1,0,0,3,3,1,2,2,3,1,2,1
0.8793103448275861,8.285714285714286,7.285714285714286,3,1,1,0,3,3,4,4,3,2,2,3,2
0.8648648648648648,10.571428571428571,9.142857142857142,3,1,1,0,3,3,2,1,2,4,4,4,2
0.6829268292682926,8.785714285714286,6.0,3,0,0,1,3,4,2,2,2,2,2,4,2
0.9785407725321889,8.321428571428571,8.142857142857142,3,1,1,0,4,4,1,4,1,1,1,1,2
0.7581227436823105,9.892857142857142,7.5,4,1,1,0,3,3,1,1,2,2,1,2,1
0.8,7.5,6.0,4,1,1,0,4,3,2,2,2,2,2,2,1
0.8843537414965987,10.5,9.285714285714286,4,1,1,1,3,3,2,2,2,3,2,3,1
0.9090909090909091,5.5,5.0,4,1,1,0,4,2,1,2,1,1,1,1,1
0.7101449275362318,9.857142857142858,7.0,3,1,1,1,2,3,1,1,1,2,1,3,2
0.9785407725321889,8.321428571428571,8.142857142857142,3,1,1,0,4,5,2,3,3,4,3,3,2
0.7967479674796747,8.785714285714286,7.0,4,1,1,0,4,4,2,2,2,2,2,2,1
